"rank","aadhaar_number","mobile_number","full_name","email","city","district","profile_score","documents","applications","total_score"
"1","123456789012","9876543210","Test Citizen","test.citizen@example.com","Jaipur","Jaipur",10,"1","0",12
"2","897158760524","7413773685","Citizen 0524","N/A","Village 71","Nagaur",9,"0","0",9
"3","664920821579","9547296095","Citizen 1579","N/A","Village 69","Rajsamand",9,"0","0",9
"4","815032114496","9656749112","Citizen 4496","N/A","Village 65","Nagaur",9,"0","0",9
"5","387193279353","8423326961","Citizen 9353","N/A","City 25","Jaipur",9,"0","0",9
"6","739977352460","6585282160","Citizen 2460","N/A","Village 45","Jodhpur",9,"0","0",9
"7","887252398964","7933132204","Citizen 8964","N/A","Village 34","Jaipur",9,"0","0",9
"8","923002365745","7509600980","Citizen 5745","N/A","Village 54","Pratapgarh",9,"0","0",9
"9","150727022410","6641400196","Citizen 2410","N/A","Village 46","Barmer",9,"0","0",9
"10","703390852757","8654544151","Citizen 2757","N/A","Village 68","Ajmer",9,"0","0",9
"11","603784321503","6479271160","Citizen 1503","N/A","Village 75","Dungarpur",9,"0","0",9
"12","280183011271","6180702509","Citizen 1271","N/A","Village 95","Bhilwara",9,"0","0",9
"13","115333368432","9097056343","Citizen 8432","N/A","Village 47","Baran",9,"0","0",9
"14","531566643085","9083527620","Citizen 3085","N/A","Village 20","Jaipur",9,"0","0",9
"15","557073544494","7091968989","Citizen 4494","N/A","Village 16","Sri Ganganagar",9,"0","0",9
"16","158106416697","7683563343","Citizen 6697","N/A","Village 54","Baran",9,"0","0",9
"17","624071859085","9691250172","Citizen 9085","N/A","Village 41","Bhilwara",9,"0","0",9
"18","988734246792","7253031975","Citizen 6792","N/A","Village 28","Kota",9,"0","0",9
"19","707879479698","7826788174","Citizen 9698","N/A","Village 21","Udaipur",9,"0","0",9
"20","753014694449","9728239802","Citizen 4449","N/A","City 20","Jaipur",9,"0","0",9
"21","680602688703","9542833082","Citizen 8703","N/A","City 29","Jaipur",9,"0","0",9
"22","175370802300","9878958896","Citizen 2300","N/A","Village 36","Bikaner",9,"0","0",9
"23","017191269854","7016493338","Citizen 9854","N/A","Village 26","Sawai Madhopur",9,"0","0",9
"24","280532777918","6106382823","Citizen 7918","N/A","Village 14","Sikar",9,"0","0",9
"25","639858439939","9984161932","Citizen 9939","N/A","Village 5","Alwar",9,"0","0",9
